P1 work time,P2 work time,P1 crit time,P2 crit time,P1 inc,P2 inc,time
0.00010, 0.00050, 0.00010, 0.00050, 2.00000, 2.00000, 0.084214
0.00010, 0.00050, 0.00010, 0.00050, 3.00000, 2.00000, 0.094233
0.00010, 0.00050, 0.00010, 0.00050, 4.00000, 2.00000, 0.098919
0.00010, 0.00050, 0.00010, 0.00050, 5.00000, 2.00000, 0.108392
0.00010, 0.00050, 0.00010, 0.00050, 1.00000, 3.00000, 0.077833
0.00010, 0.00050, 0.00010, 0.00050, 2.00000, 3.00000, 0.087106
0.00010, 0.00050, 0.00010, 0.00050, 3.00000, 3.00000, 0.093860
0.00010, 0.00050, 0.00010, 0.00050, 4.00000, 3.00000, 0.101327
0.00010, 0.00050, 0.00010, 0.00050, 5.00000, 3.00000, 0.104667
0.00010, 0.00050, 0.00010, 0.00050, 1.00000, 4.00000, 0.077883
0.00010, 0.00050, 0.00010, 0.00050, 2.00000, 4.00000, 0.087169
0.00010, 0.00050, 0.00010, 0.00050, 3.00000, 4.00000, 0.091433
0.00010, 0.00050, 0.00010, 0.00050, 4.00000, 4.00000, 0.101293
0.00010, 0.00050, 0.00010, 0.00050, 5.00000, 4.00000, 0.105118
0.00010, 0.00050, 0.00010, 0.00050, 1.00000, 5.00000, 0.077081
0.00010, 0.00050, 0.00010, 0.00050, 2.00000, 5.00000, 0.084230
0.00010, 0.00050, 0.00010, 0.00050, 3.00000, 5.00000, 0.092759
0.00010, 0.00050, 0.00010, 0.00050, 4.00000, 5.00000, 0.097588
0.00010, 0.00050, 0.00010, 0.00050, 5.00000, 5.00000, 0.106988
0.00010, 0.00050, 0.00010, 0.00090, 1.00000, 1.00000, 0.088301
0.00010, 0.00050, 0.00010, 0.00090, 2.00000, 1.00000, 0.096677
0.00010, 0.00050, 0.00010, 0.00090, 3.00000, 1.00000, 0.108570
0.00010, 0.00050, 0.00010, 0.00090, 4.00000, 1.00000, 0.112813
0.00010, 0.00050, 0.00010, 0.00090, 5.00000, 1.00000, 0.120430
0.00010, 0.00050, 0.00010, 0.00090, 1.00000, 2.00000, 0.088684
0.00010, 0.00050, 0.00010, 0.00090, 2.00000, 2.00000, 0.094703
0.00010, 0.00050, 0.00010, 0.00090, 3.00000, 2.00000, 0.108034
0.00010, 0.00050, 0.00010, 0.00090, 4.00000, 2.00000, 0.113855
0.00010, 0.00050, 0.00010, 0.00090, 5.00000, 2.00000, 0.122796
0.00010, 0.00050, 0.00010, 0.00090, 1.00000, 3.00000, 0.087471
0.00010, 0.00050, 0.00010, 0.00090, 2.00000, 3.00000, 0.097618
0.00010, 0.00050, 0.00010, 0.00090, 3.00000, 3.00000, 0.104770
0.00010, 0.00050, 0.00010, 0.00090, 4.00000, 3.00000, 0.113424
0.00010, 0.00050, 0.00010, 0.00090, 5.00000, 3.00000, 0.117763
0.00010, 0.00050, 0.00010, 0.00090, 1.00000, 4.00000, 0.088069
0.00010, 0.00050, 0.00010, 0.00090, 2.00000, 4.00000, 0.097912
0.00010, 0.00050, 0.00010, 0.00090, 3.00000, 4.00000, 0.104496
0.00010, 0.00050, 0.00010, 0.00090, 4.00000, 4.00000, 0.110325
0.00010, 0.00050, 0.00010, 0.00090, 5.00000, 4.00000, 0.121712
0.00010, 0.00050, 0.00010, 0.00090, 1.00000, 5.00000, 0.085988
0.00010, 0.00050, 0.00010, 0.00090, 2.00000, 5.00000, 0.095981
0.00010, 0.00050, 0.00010, 0.00090, 3.00000, 5.00000, 0.105432
0.00010, 0.00050, 0.00010, 0.00090, 4.00000, 5.00000, 0.110347
0.00010, 0.00050, 0.00010, 0.00090, 5.00000, 5.00000, 0.121444
0.00010, 0.00050, 0.00050, 0.00010, 1.00000, 1.00000, 0.095082
0.00010, 0.00050, 0.00050, 0.00010, 2.00000, 1.00000, 0.100239
0.00010, 0.00050, 0.00050, 0.00010, 3.00000, 1.00000, 0.105166
0.00010, 0.00050, 0.00050, 0.00010, 4.00000, 1.00000, 0.118829
0.00010, 0.00050, 0.00050, 0.00010, 5.00000, 1.00000, 0.120358
0.00010, 0.00050, 0.00050, 0.00010, 1.00000, 2.00000, 0.092456
0.00010, 0.00050, 0.00050, 0.00010, 2.00000, 2.00000, 0.099987
0.00010, 0.00050, 0.00050, 0.00010, 3.00000, 2.00000, 0.106030
0.00010, 0.00050, 0.00050, 0.00010, 4.00000, 2.00000, 0.117580
0.00010, 0.00050, 0.00050, 0.00010, 5.00000, 2.00000, 0.123811
0.00010, 0.00050, 0.00050, 0.00010, 1.00000, 3.00000, 0.093164
0.00010, 0.00050, 0.00050, 0.00010, 2.00000, 3.00000, 0.102410
0.00010, 0.00050, 0.00050, 0.00010, 3.00000, 3.00000, 0.109860
0.00010, 0.00050, 0.00050, 0.00010, 4.00000, 3.00000, 0.115968
0.00010, 0.00050, 0.00050, 0.00010, 5.00000, 3.00000, 0.121999
0.00010, 0.00050, 0.00050, 0.00010, 1.00000, 4.00000, 0.094499
0.00010, 0.00050, 0.00050, 0.00010, 2.00000, 4.00000, 0.098646
0.00010, 0.00050, 0.00050, 0.00010, 3.00000, 4.00000, 0.106089
0.00010, 0.00050, 0.00050, 0.00010, 4.00000, 4.00000, 0.117353
0.00010, 0.00050, 0.00050, 0.00010, 5.00000, 4.00000, 0.120083
0.00010, 0.00050, 0.00050, 0.00010, 1.00000, 5.00000, 0.093319
0.00010, 0.00050, 0.00050, 0.00010, 2.00000, 5.00000, 0.100277
0.00010, 0.00050, 0.00050, 0.00010, 3.00000, 5.00000, 0.109211
0.00010, 0.00050, 0.00050, 0.00010, 4.00000, 5.00000, 0.115239
0.00010, 0.00050, 0.00050, 0.00010, 5.00000, 5.00000, 0.122895
0.00010, 0.00050, 0.00050, 0.00050, 1.00000, 1.00000, 0.105503
